"g_dyad_ID_post","g_edge_weights_post","ind1_ID","ind2_ID","ind1_knowledge","ind2_knowledge","knowledge_comb","knowledge_comb2","dyad_ID","g_edge_weights_pre","HKLK_no_dual_events_mean","edge_diff_abs","knowledge_comb3","knowledge_comb4","edge_diff_resid","ind1_visit_no_pre","ind2_visit_no_pre","ind1_visit_no_post","ind2_visit_no_post","new_edge","HKLK_no_dual_events_binary","knowledge_comb2_HKLK_dual_events_binary","HKLK_no_dual_events_binary_c","HKLK_no_dual_events_mean_gc","HKLK_no_dual_events_mean_gc_z","HKLK_no_dual_events_mean_z","edge_diff_resid_10","g_edge_weights_pre_z"
"J3679 J5006",0.0102040816326531,"J3679","J5006","naive","naive","naive naive","naive naive","J3679 J5006",0.0487804878048781,0,-0.038576406172225,"same","naive",-0.0245805444562059,54,35,141,30,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.245805444562059,0.32164544685572
"J3679 J505",0.00961538461538462,"J3679","J505","naive","naive","naive naive","naive naive","J3679 J505",0.0238095238095238,0,-0.0141941391941392,"same","naive",-0.0159935361013042,54,30,141,39,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.159935361013042,-0.280150219293556
"J3679 J5074",0.0303030303030303,"J3679","J5074","naive","knowledge","naive knowledge","knowledge naive","J3679 J5074",0.025,0,0.0053030303030303,"different","knowledge",0.00425666316743565,54,40,141,120,"old",0,"knowledge naive_0",-0.5,-2.91891891891892,-0.323867453226871,-0.229061120372005,0.0425666316743565,-0.25145996079109
"J3679 J5503",0.0993377483443709,"J3679","J5503","naive","naive","naive naive","naive naive","J3679 J5503",0.03125,0,0.0680877483443709,"same","naive",0.0709947875095209,54,14,141,156,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.709947875095209,-0.100836103653147
"J3679 J5583",0.0185185185185185,"J3679","J5583","naive","naive","naive naive","naive naive","J3679 J5583",0.0357142857142857,0,-0.0171957671957672,"same","naive",-0.0114648663872282,54,13,141,65,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.114648663872282,0.00675236573109809
"J3679 J5645",0.0222222222222222,"J3679","J5645","naive","naive","naive naive","naive naive","J3679 J5645",0.0170940170940171,0,0.0051282051282051,"same","naive",-0.000919052028844299,54,144,141,161,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.00919052028844299,-0.441992703153617
"J3679 J6000",0.00909090909090909,"J3679","J6000","naive","naive","naive naive","naive naive","J3679 J6000",0.0454545454545455,0,-0.0363636363636364,"same","naive",-0.0244715828786122,54,72,141,67,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.244715828786122,0.241490844387635
"J3679 J664",0.00432900432900433,"J3679","J664","naive","knowledge","naive knowledge","knowledge naive","J3679 J664",0.0144927536231884,0,-0.0101637492941841,"different","knowledge",-0.0178564226745088,54,512,141,366,"old",0,"knowledge naive_0",-0.5,-2.91891891891892,-0.323867453226871,-0.229061120372005,-0.178564226745088,-0.504682677138938
"J3702 J4651",0.0125,"J3702","J4651","naive","naive","naive naive","naive naive","J3702 J4651",0.0204081632653061,0,-0.0079081632653061,"same","naive",-0.0118590738055295,42,99,157,90,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.118590738055295,-0.362122386443458
"J3702 J4699",0.00833333333333333,"J3702","J4699","naive","naive","naive naive","naive naive","J3702 J4699",0.021978021978022,0,-0.0136446886446887,"same","naive",-0.0166025928927313,42,175,157,352,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.166025928927313,-0.324289078528118
