"ID1","ID2"
"J1317","J5489"
"J1317","J5503"
"J1317","J5519"
"J1317","J5559"
"J1317","J5566"
"J1317","J5568"
"J1317","J5582"
"J1317","J5583"
"J1317","J5595"
"J1317","J56"
"J1317","J5607"
"J1317","J5618"
"J1317","J5645"
"J1317","J5657A"
"J1317","J5658"
"J1317","J595"
"J1317","J5999"
"J1317","J6000"
"J1317","J6014"
"J1317","J6017"
"J1317","J6023"
"J1317","J6024"
"J1317","J6027"
"J1317","J640"
"J1317","J664"
"J1317","J910"
"J1317","J971"
"J1317","J990"
"J1345","J1351"
"J1345","J1458"
"J1345","J1480"
"J1345","J1529"
"J1345","J1556"
"J1345","J1618"
"J1345","J1623"
"J1345","J1627"
"J1345","J1631"
"J1345","J164"
"J1345","J1735"
"J1345","J1902"
"J1345","J1916"
"J1345","J1962"
"J1345","J1964"
"J1345","J1973"
"J1345","J2039"
"J1345","J2124"
"J1345","J2128"
"J1345","J2168"
"J1345","J2196"
"J1345","J2375"
"J1345","J2377"
"J1345","J2392"
"J1345","J2415"
"J1345","J2488"
"J1345","J2563"
"J1345","J2572"
"J1345","J2621"
"J1345","J2661"
"J1345","J2728"
"J1345","J2801"
"J1345","J2941"
"J1345","J295"
"J1345","J2969"
"J1345","J3096"
"J1345","J3305"
"J1345","J3369"
"J1345","J3383"
"J1345","J3492"
"J1345","J3508"
"J1345","J3549"
"J1345","J3610"
"J1345","J3679"
"J1345","J3702"
"J1345","J3714"
"J1345","J3715"
"J1345","J3716"
"J1345","J3718"
"J1345","J3749"
"J1345","J3753"
"J1345","J3759"
"J1345","J3845"
"J1345","J3884"
"J1345","J3899"
"J1345","J3987"
"J1345","J4001"
"J1345","J4044"
"J1345","J4046"
"J1345","J4109"
"J1345","J4112"
"J1345","J4126"
"J1345","J4151"
