"JID","knowledge","phase","feeder","visit_number"
"J5716B","naive","post_knowledge","visit_number_LK",4
"J5716B","naive","post_knowledge","visit_number_HK",4
"J5721","naive","post_knowledge","visit_number_LK",1
"J5721","naive","post_knowledge","visit_number_HK",0
"J5722","naive","post_knowledge","visit_number_LK",0
"J5722","naive","post_knowledge","visit_number_HK",2
"J5723A","naive","post_knowledge","visit_number_LK",22
"J5723A","naive","post_knowledge","visit_number_HK",8
"J5723B","naive","post_knowledge","visit_number_LK",2
"J5723B","naive","post_knowledge","visit_number_HK",2
"J5724","naive","post_knowledge","visit_number_LK",35
"J5724","naive","post_knowledge","visit_number_HK",47
"J5728A","naive","post_knowledge","visit_number_LK",10
"J5728A","naive","post_knowledge","visit_number_HK",6
"J5728B","naive","post_knowledge","visit_number_LK",30
"J5728B","naive","post_knowledge","visit_number_HK",21
"J5730","knowledgeable","post_knowledge","visit_number_LK",22
"J5730","knowledgeable","post_knowledge","visit_number_HK",263
"J5734","naive","post_knowledge","visit_number_LK",2
"J5734","naive","post_knowledge","visit_number_HK",0
"J5739B","naive","post_knowledge","visit_number_LK",0
"J5739B","naive","post_knowledge","visit_number_HK",1
"J5740","naive","post_knowledge","visit_number_LK",36
"J5740","naive","post_knowledge","visit_number_HK",18
"J5742","naive","post_knowledge","visit_number_LK",13
